Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLongLe_byteBuff_littleEndian,833053.914,831202.445,827447.188,827885.785,826363.828,834718.713,837596.747,832495.323,832321.158,833206.626,831154.501,831598.875,825815.396,823650.081,831533.101,830957.501,834153.816,836816.902,831739.316,830892.583,828794.421,833235.357,829782.755,825128.169,830640.371,834572.821,838895.5,833497.311,830243.053,835413.099,0.435467823
zipkin2.SpanTest._Benchmark.benchmark_debug_canUnset,717172.617,709416.154,718506.561,717154.356,719390.534,716062.457,713851.277,712450.461,717358.169,717024.637,717122.704,718855.636,717611.341,712415.426,713043.481,710969.67,719990.989,712966.397,720522.448,719441.508,718483.083,718898.698,716608.867,717676.655,718708.938,719736.967,719746.317,720458.523,721747.503,719019.026,0.433616839
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_unsignedVarintSize_32_largest,902272.678,904677.464,896939.797,892281.791,892439.116,899380.402,899044.302,899559.91,904549.74,898470.781,902221.73,904009.165,900069.799,894016.049,900473.704,896726.067,897344.127,895201.933,896848.584,899745.621,904679.612,906279.218,902638.977,900254.005,898345.924,896698.199,902980.034,897679.89,904806.418,893501.461,0.432418673
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_minimum_JSON_V1,584859.677,582217.92,580420.179,582104.458,584215.653,583347.271,577352.42,577661.515,580117.402,578352.83,578800.755,582077.806,577751.799,579352.037,584318.017,582600.504,585544.982,585053.326,582889.17,582400.48,581438.216,580811.527,583877.547,581714.301,580338.34,580664.017,577015.36,577841.264,579113.396,581980.828,0.428802709
zipkin2.EndpointTest._Benchmark.benchmark_lowercasesServiceName,806190.564,807219.184,801214.346,802195.973,801902.551,800997.992,802186.935,802993.597,806976.452,808246.304,807982.36,809920.479,809417.956,808318.302,809578.254,808339.822,801683.48,803065.743,798567.001,805078.35,806158.937,797383.988,802983.23,807266.276,805803.03,805489.875,807807.204,805536.626,803253.117,801043.297,0.417749718
zipkin2.SpanTest._Benchmark.benchmark_toString_isJson,554949.335,555151.653,554966.822,549952.63,552609.063,558304.386,557535.697,556196.751,552655.464,559003.68,559012.289,555211.91,556893.186,555538.454,558524.024,557871.504,555266.149,557945.379,555466.742,555577.914,557166.858,555779.211,560839.867,560222.563,554334.17,557504.405,557596.364,554469.685,555085.764,556037.992,0.416566283
zipkin2.codec.V1SpanBytesDecoderTest._Benchmark.benchmark_falseOnEmpty_inputSpans_THRIFT,879595.612,884289.838,878228.782,880574.384,879073.98,877319.558,880688.195,879152.36,879854.661,879175.473,879917.444,873443.521,869572.867,875326.214,881992.324,879208.972,883867.633,874371.241,873325.54,882287.8,877976.593,882121.675,881059.14,883046.838,880500.625,880777.338,880654.227,872584.171,880870.233,883837.402,0.409552622
zipkin2.codec.V1SpanBytesDecoderTest._Benchmark.benchmark_emptyListOk_THRIFT,844410.946,841508.306,840026.518,841895.839,834291.941,843291.724,844427.365,834782.767,834373.105,838704.731,840139.654,839173.189,843681.585,837315.271,837390.575,841262.848,843418.199,839939.828,834101.102,833018.594,833153.08,840535.577,841862.264,840738.886,836959.868,842053.593,841107.358,840354.274,840695.933,838601.163,0.40370148
zipkin2.SpanTest._Benchmark.benchmark_normalizeTraceId_truncates64BitZeroPrefix,641648.261,643182.539,642957.824,637987.283,641228.478,641017.631,642485.077,635618.123,638699.542,639781.509,640372.544,641487.159,636557.279,641543.595,635100.648,639387.546,643434.974,638874.656,643495.842,637403.202,645931.773,639342.428,637195.13,643315.068,640323.872,638723.122,640598.998,638782.723,642755.119,641767.394,0.402890209
zipkin2.SpanTest._Benchmark.benchmark_removesSharedFlagFromClientSpans,689304.38,688745.9,685664.825,689562.949,679959.598,688659.009,686292.505,685966.657,687417.648,692350.064,688924.15,689327.696,682706.016,687448.348,691747.436,688917.71,690165.242,684971.019,691378.895,690176.134,690242.965,688823.619,689295.558,688023.558,687560.452,689753.902,686557.513,692377.898,691046.534,687402.088,0.395620844
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_localSpan_JSON_V2,557831.288,558534.688,558486.012,558331.266,558388.222,561607.639,559381.929,558385.462,559465.874,558893.632,558475.92,553730.753,555010.318,558892.77,557208.331,560601.275,558284.573,558239.455,556834.955,554816.729,552180.435,558350.477,554084.671,556855.944,558370.801,556684.264,561276.563,557125.478,554713.971,556335.15,0.391656975
zipkin2.EndpointTest._Benchmark.benchmark_ip_ipv6,531008.581,533469.107,531581.292,530319.659,531100.939,532946.03,535982.855,535154.399,533907.845,537102.846,536372.189,532611.755,529390.107,533159.216,534650.082,536544.431,535268.15,535214.196,534129.319,533575.595,534667.718,534672.934,534052.13,536277.251,533857.545,531132.367,534880.294,530798.723,532317.769,535851.335,0.384612487
zipkin2.internal.Proto3FieldsTest._Benchmark.benchmark_field_key_fieldOneLengthDelimited,601305.569,605637.008,606022.75,606244.458,603146.331,600572.011,600124.704,601790.009,603698.834,603267.266,607228.45,607017.435,603987.721,606553.481,604624.275,604692.487,600730.672,603209.412,605632.81,602175.441,604344.961,603161.98,602021.208,603675.235,600975.326,605234.53,604161.827,601737.406,598644.093,599484.773,0.382090834
zipkin2.SpanTest._Benchmark.benchmark_localServiceName,681245.571,674372.852,680538.834,679247.89,679867.012,678236.468,678522.875,679037.782,680441.691,681216.057,677807.145,682109.71,678577.821,680224.754,675760.117,679837.089,675103.931,673406.186,677746.869,680553.591,676399.398,682432.115,675865.469,675418.298,674540.318,676945.994,675733.043,680989.293,679088.219,675254.89,0.374866774
