Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
org.eclipse.collections.impl.clusters.Cluster_1016._Benchmark.benchmark_Cluster_1016,186937.764,187475.23,187381.677,186691.801,186372.706,187406.257,187700.74,186740.233,188110.71,186535.199,188174.158,187368.698,188265.147,188473.58,187619.469,187840.649,187312.569,187361.606,185913.747,187453.989,187849.181,187323.068,186074.314,187490.586,187248.008,187941.477,187746.622,188008.009,187659.488,187838.497,0.336826107
org.eclipse.collections.impl.clusters.Cluster_1017._Benchmark.benchmark_Cluster_1017,150717.466,151262.044,151220.737,151612.311,150633.653,151359.36,151523.337,151354.806,151288.436,151552.413,150680.676,150518.712,151495.047,151794.446,151245.687,152416.112,152748.684,152202.53,151822.871,151925.129,151596.938,150937.452,150915.399,152070.204,151279.861,151949.33,151033.795,151021.59,152020.639,152387.895,0.373921304
org.eclipse.collections.impl.clusters.Cluster_1018._Benchmark.benchmark_Cluster_1018,168877.716,167795.875,169001.002,169024.817,167799.459,168973.97,168538.4,167928.691,167968.321,168816.407,169467.936,167664.114,167306.089,168315.205,167548.271,168088.46,168066.105,167804.219,167225.204,167847.583,168083.319,169317.073,168086.226,167578.501,168253.686,167715.185,168065.559,167238.41,167702.342,167296.932,0.372909558
org.eclipse.collections.impl.clusters.Cluster_1019._Benchmark.benchmark_Cluster_1019,106672.237,107121.024,106906.106,106933.034,107282.734,106253.881,106745.964,105907.548,106595.713,106652.646,106500.581,106663.599,106218.698,105981.104,106316.083,106828.148,106466.238,106436.258,106569.101,106028.654,106333.708,106496.443,107327.972,106983.676,105965.658,105710.667,106084.667,106517.572,105209.005,105785.905,0.453667436
org.eclipse.collections.impl.clusters.Cluster_102._Benchmark.benchmark_Cluster_102,170523.529,170263.867,168625.213,170188.347,169741.705,168966.941,169090.603,170198.582,167676.356,167094.946,170597.338,169323.082,170310.66,168189.528,169325.434,169575.256,168629.205,168793.227,169148.999,168976.094,169727.815,167790.775,168968.153,170102.741,169097.299,169558.214,168278.556,168935.131,169871.819,170590.642,0.533431412
org.eclipse.collections.impl.clusters.Cluster_1020._Benchmark.benchmark_Cluster_1020,239855.701,241904.05,239504.832,239997.346,240508.007,239575.352,239984.2,239367.963,240488.6,239457.728,240053.234,240041.628,241236.57,240317.073,239679.173,239967.773,242036.762,240273.772,241074.082,241366.86,240497.468,239578.042,239570.24,240226.538,240243.587,239202.419,239092.252,240185.84,242405.435,240134.889,0.347572131
org.eclipse.collections.impl.clusters.Cluster_1021._Benchmark.benchmark_Cluster_1021,102929.241,102033.742,102123.754,102513.117,102154.038,102495.932,101997.303,102512.731,102602.968,102575.897,102248.388,102532.356,102164.779,102623.729,101976.945,102916.26,102839.252,102901.215,101388.037,102814.758,102577.204,102744.438,102084.923,102595.722,102266.58,101872.749,101994.708,103082.665,103006.387,103472.297,0.430529554
org.eclipse.collections.impl.clusters.Cluster_1022._Benchmark.benchmark_Cluster_1022,214574.865,214315.444,215090.619,214132.529,215428.471,215185.987,215763.285,216424.504,214404.315,215292.688,214383.064,214841.931,214968.39,214342.11,214678.084,215218.839,215198.997,214741.292,213359.31,214325.817,214987.081,214350.963,214661.057,214971.029,214873.856,217072.43,215727.578,214692.485,215618.687,214623.163,0.33257459
org.eclipse.collections.impl.clusters.Cluster_1023._Benchmark.benchmark_Cluster_1023,145312.641,145341.68,145583.541,145338.846,144584.141,145264.328,146154.615,145168.79,145153.999,145259.213,146503.886,145399.623,146044.423,144527.991,145837.228,145245.224,145275.765,145091.712,145329.762,145514.484,145540.801,146167.341,146036.707,145888.734,146103.008,146501.322,145127.424,145551.946,146266.919,145743.186,0.344991751
org.eclipse.collections.impl.clusters.Cluster_1024._Benchmark.benchmark_Cluster_1024,193419.729,194624.923,194905.458,193815.399,193459.731,194918.033,194718.14,193738.598,193736.58,193470.628,193040.737,194786.736,194290.479,194299.969,195426.193,194205.837,194342.236,194652.951,194326.312,193345.957,193450.821,193573.539,194766.134,194824.83,193985.248,194535.081,194893.1,194527.597,193756.995,194521.403,0.31149427
org.eclipse.collections.impl.clusters.Cluster_1025._Benchmark.benchmark_Cluster_1025,213096.279,213506.751,212187.719,210787.471,212862.783,211964.796,212707.628,212908.152,213052.601,211956.713,212292.69,211685.712,210997.732,213148.587,212312.045,211038.637,212266.38,212529.218,212345.581,212514.591,212537.781,212391.161,211724.757,211264.228,213522.579,213847.793,212300.729,213387.325,213890.811,211675.976,0.386322871
org.eclipse.collections.impl.clusters.Cluster_1026._Benchmark.benchmark_Cluster_1026,159583.118,158866.179,158129.799,158852.577,158942.556,158908.585,159513.021,159190.817,160858.38,161242.627,160434.621,160159.376,158660.737,159459.606,158568.026,159025.007,160166.671,160243.235,159600.613,161995.427,159979.145,158709.562,160439.355,159291.307,161499.343,162035.916,160348.473,158208.376,159380.308,158996.314,0.660110258
org.eclipse.collections.impl.clusters.Cluster_1027._Benchmark.benchmark_Cluster_1027,154429.147,154075.483,153858.951,153176.145,153396.85,154900.283,154111.165,153950.146,155391.777,154605.534,156461.918,155719.705,154672.793,154071.165,154477.073,154902.264,154877.603,155183.705,155996.269,155180.53,154368.032,155216.408,155909.721,155300.234,154980.904,155351.684,155481.543,156061.414,155686.935,155014.443,0.5163661
org.eclipse.collections.impl.clusters.Cluster_1028._Benchmark.benchmark_Cluster_1028,192717.76,192389.642,192038.094,192124.012,192874.086,192806.753,193418.531,195147.275,194150.307,194086.143,193003.219,192819.045,192951.808,192714.846,192060.011,192450.083,194716.798,194216.495,192095.298,192587.468,192928.266,193124.396,194597.698,193675.813,192865.292,191861.377,191947.769,192505.47,191973.077,192641.935,0.462230404
org.eclipse.collections.impl.clusters.Cluster_1029._Benchmark.benchmark_Cluster_1029,163475.68,164574.033,162846.135,162892.515,163494.7,163629.009,163231.291,162656.342,162698.428,162115.655,163750.238,163117.094,162914.839,162960.047,163914.538,164529.871,164137.533,163794.508,163709.456,163510.884,163347.593,163363.479,163210.927,163380.081,163867.95,163459.671,162976.078,164357.551,163107.099,163254.72,0.344257832
org.eclipse.collections.impl.clusters.Cluster_103._Benchmark.benchmark_Cluster_103,123977.085,124041.392,123638.625,124188.568,124101.7,124135.303,124209.08,123130.256,123184.095,122971.021,123731.786,123743.524,123668.762,124549.042,124456.795,124197.482,123750.155,124120.741,123524.839,123022.582,123944.623,123829.735,123546.925,123601.456,123214.451,123454.302,123793.634,123781.781,122679.858,122569.055,0.400624803
org.eclipse.collections.impl.clusters.Cluster_1030._Benchmark.benchmark_Cluster_1030,184939.558,185166.413,185156.12,184269.903,185118.063,185831.198,185517.35,184695.532,184157.359,184993.489,185427.645,184399.224,185113.914,183464.34,183947.28,184212.746,184011.32,184668.409,182703.412,183050.775,182483.595,184834.323,182642.764,182607.263,182484.886,183556.209,185037.759,182735.235,185744.698,185564.971,0.586411782
org.eclipse.collections.impl.clusters.Cluster_1031._Benchmark.benchmark_Cluster_1031,157904.165,158000.937,157904.124,158152.079,157678.028,157858.995,157608.423,157116.504,157432.869,157157.577,156714.162,157406.093,157454.655,157392.633,157501.565,157364.661,156578.761,156660.469,156894.038,156939.712,156323.769,156391.151,156086.557,157261.475,155616.694,156847.654,155434.242,154818.392,155612.221,155348.927,0.559753909
